timestamp,open,high,low,close,volume
1711929600000,1.07932,1.07963,1.07918,1.07952,932700000
1711930500000,1.07951,1.07982,1.07945,1.07971,949230000
1711931400000,1.07969,1.07987,1.0795,1.07953,1081810000
1711932300000,1.07952,1.07965,1.07901,1.07912,1505970000
1711933200000,1.07911,1.07945,1.07897,1.07932,760450000
1711934100000,1.07932,1.07941,1.07911,1.07922,578650000
1711935000000,1.07922,1.07931,1.07892,1.07903,763140000
1711935900000,1.07901,1.07901,1.07856,1.07867,910540000
1711936800000,1.07866,1.0787,1.07848,1.07864,1125930000
1711937700000,1.07865,1.07876,1.07856,1.07876,685350000
1711938600000,1.07874,1.07895,1.07869,1.07889,833420000
1711939500000,1.0789,1.0789,1.07871,1.07877,649250000
1711940400000,1.07878,1.07881,1.07848,1.07861,454100000
1711941300000,1.07862,1.07871,1.07847,1.07851,436760000
1711942200000,1.07852,1.07902,1.07852,1.07894,372810000
1711943100000,1.07892,1.07913,1.07883,1.07903,517660000
1711944000000,1.07902,1.07911,1.07874,1.07882,708370000
1711944900000,1.07881,1.07881,1.07858,1.07864,827870000
1711945800000,1.07865,1.07875,1.07841,1.0785,697380000
1711946700000,1.0785,1.07872,1.0785,1.07867,476140000
1711947600000,1.07866,1.07872,1.07847,1.07848,502860000
1711948500000,1.07847,1.0785,1.07837,1.07838,365990000
1711949400000,1.07838,1.07847,1.07827,1.0783,321820000
1711950300000,1.07829,1.07863,1.07829,1.07853,478780000
1711951200000,1.0785,1.07869,1.07844,1.07869,763940000
1711952100000,1.0787,1.07894,1.07861,1.07892,489390000
1711953000000,1.07893,1.07904,1.07872,1.07881,935770000
1711953900000,1.07883,1.07889,1.07853,1.07865,860640000
1711954800000,1.07865,1.07911,1.07846,1.07906,714720000
1711955700000,1.07905,1.07921,1.07886,1.07902,700610000
1711956600000,1.07904,1.07911,1.07875,1.07881,1355160000
1711957500000,1.07883,1.07883,1.07829,1.07859,1321340000
1711958400000,1.07859,1.07866,1.07831,1.07859,1012430000
1711959300000,1.07859,1.07913,1.07859,1.07907,940140000
1711960200000,1.07906,1.07915,1.0788,1.07897,1256500000
1711961100000,1.07897,1.07908,1.07885,1.07897,1897380000
1711962000000,1.07897,1.07908,1.07878,1.07879,1482310000
1711962900000,1.07878,1.07896,1.07871,1.07878,934550000
1711963800000,1.0788,1.07903,1.07872,1.07878,1071580000
1711964700000,1.07878,1.07888,1.07856,1.0786,930820000
1711965600000,1.0786,1.07866,1.07826,1.07827,1045280000
1711966500000,1.07827,1.07837,1.07807,1.07816,1170950000
1711967400000,1.07816,1.07827,1.07805,1.07806,621230000
1711968300000,1.07806,1.07818,1.07796,1.07813,865910000
1711969200000,1.07813,1.07855,1.07798,1.07848,895550000
1711970100000,1.07847,1.07847,1.07824,1.07837,1093550000
1711971000000,1.07837,1.07875,1.07831,1.07849,1037670000
1711971900000,1.0785,1.07856,1.07835,1.07839,970310000
1711972800000,1.0784,1.07857,1.07793,1.07795,1885120000
