timestamp,open,high,low,close,volume
1136505600000,1.21022,1.21086,1.21011,1.21045,8066400000
1136506500000,1.21046,1.21121,1.21021,1.21115,6388400000
1136507400000,1.21114,1.21228,1.21107,1.21124,6702200000
1136508300000,1.2113,1.21159,1.21056,1.21068,7848200000
1136509200000,1.21077,1.21125,1.2107,1.21103,8662600000
1136510100000,1.21092,1.21102,1.20976,1.20978,6830300000
1136511000000,1.20967,1.21004,1.20867,1.209,8263800000
1136511900000,1.20899,1.20939,1.20794,1.20838,6391400000
1136512800000,1.20841,1.20895,1.2082,1.20879,9293900000
1136513700000,1.20878,1.20923,1.20844,1.20898,7091500000
1136514600000,1.209,1.20906,1.20854,1.2088,7782000000
1136515500000,1.20885,1.20904,1.20873,1.20884,6388000000
1136516400000,1.20893,1.20915,1.20874,1.209,6301600000
1136517300000,1.20908,1.20918,1.20844,1.20862,6470600000
1136518200000,1.20865,1.20877,1.2083,1.20835,7896100000
1136519100000,1.20845,1.20878,1.20827,1.20861,6605600000
1136520000000,1.20866,1.20898,1.20851,1.20892,6545900000
1136520900000,1.20882,1.20899,1.20863,1.20875,8376700000
1136521800000,1.20877,1.20936,1.20862,1.20872,6266500000
1136522700000,1.20876,1.209,1.20838,1.20888,7629700000
1136523600000,1.20883,1.20905,1.20876,1.209,5912700000
1136524500000,1.209,1.20908,1.20848,1.20859,7361200000
1136525400000,1.20867,1.20884,1.20847,1.20865,6532800000
1136526300000,1.20863,1.20914,1.20849,1.2085,6921300000
1136527200000,1.20859,1.20948,1.20857,1.20927,7532900000
1136528100000,1.20926,1.20935,1.2087,1.20881,7625400000
1136529000000,1.20873,1.20905,1.20848,1.20896,7342600000
1136529900000,1.20893,1.20895,1.20821,1.20872,6634700000
1136530800000,1.20875,1.20897,1.20807,1.20856,7576100000
1136531700000,1.20866,1.20931,1.20841,1.20921,7423600000
1136532600000,1.20922,1.20933,1.20863,1.20905,6120300000
1136533500000,1.2092,1.20939,1.20842,1.20892,7561400000
1136534400000,1.20906,1.20925,1.20866,1.2089,7674700000
1136535300000,1.20893,1.2093,1.20872,1.20877,7388100000
1136536200000,1.20883,1.20923,1.20873,1.20907,7332900000
1136537100000,1.20914,1.20931,1.20854,1.20919,6685100000
1136538000000,1.20923,1.20981,1.209,1.20981,6329100000
1136538900000,1.20978,1.21022,1.20896,1.20897,7511300000
1136539800000,1.20909,1.20923,1.20889,1.20901,8108900000
1136540700000,1.20902,1.20911,1.2086,1.20882,6795200000
1136541600000,1.20882,1.20905,1.20857,1.20876,6564600000
1136542500000,1.2087,1.20923,1.2086,1.2088,6758700000
1136543400000,1.20885,1.20931,1.20866,1.20895,8596400000
1136544300000,1.20897,1.20935,1.20872,1.20906,6357100000
1136545200000,1.20896,1.20905,1.20842,1.209,6895500000
1136546100000,1.209,1.20934,1.20886,1.209,8179600000
1136547000000,1.20915,1.20935,1.20889,1.20916,7437800000
1136547900000,1.20923,1.20925,1.2089,1.20914,6204100000
1136548800000,1.2092,1.21011,1.20896,1.2096,6213400000
1136549700000,1.20963,1.21,1.20938,1.20979,7285100000
1136550600000,1.20985,1.21022,1.20968,1.20974,7732900000
1136551500000,1.20985,1.21003,1.20952,1.20981,7501900000
1136552400000,1.20982,1.21017,1.20916,1.20927,6671000000
1136553300000,1.20923,1.2099,1.20909,1.20927,8314100000
