year,month,direction,entry,sl,tp,outcome,exit_r,entry_time,exit_time
2006,1,bearish,1.20814,1.2109180000000002,1.1998059999999995,SL,-1.0,2006-01-30 08:45:00+00:00,2006-01-31T08:00:00+00:00
2006,2,bearish,1.20814,1.2109180000000002,1.1998059999999995,SL,-1.0,2006-01-30 08:45:00+00:00,2006-01-31T08:00:00+00:00
2006,7,bullish,1.26616,1.251802,1.3092339999999996,OPEN,,2006-06-29 18:45:00+00:00,
