timestamp,open,high,low,close,volume
1136152800000,1.18436,1.18453,1.18424,1.18425,7398200000
1136153700000,1.18432,1.18455,1.18424,1.18439,6934300000
1136154600000,1.18436,1.18453,1.18427,1.18445,7614300000
1136155500000,1.18426,1.18454,1.18424,1.18449,7209300000
1136156400000,1.18434,1.18453,1.18424,1.18445,7724900000
1136157300000,1.18441,1.18453,1.1841,1.18433,7950900000
1136158200000,1.18435,1.18453,1.1842,1.18453,7326100000
1136159100000,1.1844,1.18455,1.18421,1.1844,8017100000
1136160000000,1.18428,1.18455,1.18421,1.1844,7843500000
1136160900000,1.18436,1.18456,1.18426,1.18433,7820000000
1136161800000,1.18437,1.18455,1.18426,1.18437,7339000000
1136162700000,1.18443,1.18454,1.18421,1.18428,8188500000
1136163600000,1.18438,1.18455,1.18427,1.18436,8100900000
1136164500000,1.18438,1.18453,1.1842,1.18437,7380000000
1136165400000,1.18437,1.18455,1.18422,1.18446,8345900000
1136166300000,1.18442,1.18453,1.1842,1.18437,7277400000
1136167200000,1.18442,1.18456,1.18409,1.18448,8021100000
1136168100000,1.18434,1.18455,1.18424,1.18438,7889400000
1136169000000,1.18438,1.18453,1.18421,1.18445,7734800000
1136169900000,1.18439,1.18453,1.18426,1.18435,7997100000
1136170800000,1.18448,1.18453,1.18426,1.18438,8077900000
1136171700000,1.18443,1.18453,1.18425,1.18442,7612900000
1136172600000,1.18452,1.18456,1.18418,1.18444,7743400000
1136173500000,1.1845,1.18453,1.18418,1.1844,7442600000
1136174400000,1.18441,1.18453,1.18427,1.1844,7765400000
1136175300000,1.1845,1.18453,1.1843,1.18434,8201700000
1136176200000,1.18434,1.18456,1.18419,1.1845,7529400000
1136177100000,1.18441,1.18453,1.18418,1.18444,8054200000
1136178000000,1.1843,1.18454,1.18422,1.18422,6414100000
1136178900000,1.1844,1.18453,1.18425,1.18442,6034900000
1136179800000,1.18454,1.18454,1.18418,1.18437,7052900000
1136180700000,1.18445,1.18454,1.18428,1.1844,6462000000
1136181600000,1.18435,1.18454,1.18421,1.18435,6920700000
1136182500000,1.18438,1.18453,1.18423,1.18445,7893000000
1136183400000,1.18451,1.18455,1.18423,1.18446,7467000000
1136184300000,1.18441,1.18454,1.18424,1.18442,6662800000
1136185200000,1.18441,1.18456,1.18421,1.18444,7732700000
1136186100000,1.18438,1.18454,1.18428,1.1844,7630800000
1136187000000,1.18441,1.18454,1.1842,1.1842,6644500000
1136187900000,1.18433,1.18455,1.18418,1.18435,7996400000
1136188800000,1.18441,1.18455,1.18423,1.18432,7687600000
1136189700000,1.18435,1.18453,1.18425,1.18436,6764300000
1136190600000,1.18437,1.18455,1.18423,1.18442,6583600000
1136191500000,1.1844,1.18455,1.18426,1.18432,7408700000
1136192400000,1.18433,1.18454,1.18424,1.18432,6224100000
1136193300000,1.18436,1.18454,1.18427,1.18434,7995300000
1136194200000,1.1844,1.18456,1.18423,1.1845,7683800000
1136195100000,1.18445,1.18455,1.18428,1.18449,6984900000
1136196000000,1.1845,1.18453,1.18418,1.18453,7384100000
1136196900000,1.18438,1.18455,1.18417,1.18432,6110000000
1136197800000,1.1844,1.18454,1.18423,1.18438,7796900000
1136198700000,1.18443,1.18454,1.18424,1.18445,6252600000
1136199600000,1.18443,1.18455,1.18419,1.18442,7561100000
1136200500000,1.18441,1.18455,1.18416,1.18431,8181800000
1136201400000,1.18435,1.18455,1.18424,1.18443,7646200000
1136202300000,1.18432,1.18451,1.18421,1.18438,7445500000
1136203200000,1.18437,1.18453,1.18424,1.18435,7549300000
1136204100000,1.1844,1.18454,1.18415,1.1843,7744000000
1136205000000,1.18447,1.18454,1.18424,1.18435,7446400000
1136205900000,1.18449,1.18454,1.18417,1.1843,7169000000
1136206800000,1.1845,1.18453,1.18424,1.18444,7719200000
1136207700000,1.18436,1.18453,1.18422,1.18439,8250700000
1136208600000,1.18451,1.18456,1.18423,1.18442,8110400000
1136209500000,1.18443,1.18453,1.18423,1.18445,6644400000
1136210400000,1.18443,1.18455,1.18423,1.1844,7332700000
1136211300000,1.18442,1.18455,1.18414,1.18445,7346700000
1136212200000,1.18445,1.18455,1.18428,1.18455,8081300000
1136213100000,1.18443,1.18453,1.18426,1.18447,6479700000
1136214000000,1.1844,1.18454,1.18425,1.18442,6489200000
1136214900000,1.18438,1.18455,1.18424,1.18454,7619000000
1136215800000,1.18452,1.18455,1.1842,1.1844,6732600000
1136216700000,1.18443,1.18453,1.18419,1.18433,7131700000
1136217600000,1.18432,1.18456,1.18424,1.18437,103735200000
1136218500000,1.18437,1.18456,1.18419,1.18445,85292000000
1136219400000,1.18432,1.18454,1.18416,1.1844,60922400000
1136220300000,1.18431,1.18455,1.18424,1.18429,45785100000
