timestamp,open,high,low,close,volume
1604268000000,1.16498,1.16503,1.16476,1.16488,95.2725
1604268900000,1.16487,1.16493,1.16457,1.16458,77.3025
1604269800000,1.16459,1.16468,1.16443,1.16457,72.9675
1604270700000,1.16456,1.1646,1.16434,1.16439,127.3825
1604271600000,1.16439,1.16455,1.16403,1.16421,2291.21
1604272500000,1.16422,1.16454,1.16415,1.16454,1849.24
1604273400000,1.16455,1.16459,1.16398,1.164,2951.16
1604274300000,1.164,1.16416,1.16386,1.16416,3501.96
1604275200000,1.16415,1.16466,1.16409,1.16421,10696.82
1604276100000,1.16422,1.16446,1.16396,1.16408,6892
1604277000000,1.16407,1.16417,1.16385,1.16386,7326.02
1604277900000,1.16385,1.16432,1.16377,1.16416,5795.53
1604278800000,1.16416,1.1648,1.16398,1.16477,8063.44
1604279700000,1.16477,1.16487,1.16424,1.16424,7054.07
1604280600000,1.16425,1.1645,1.16415,1.16421,6784.77
1604281500000,1.16421,1.16466,1.16416,1.16417,7417.58
1604282400000,1.16418,1.16432,1.16413,1.16423,5622.3
1604283300000,1.16424,1.16429,1.1639,1.16415,6426.4
1604284200000,1.16414,1.16452,1.16413,1.1643,7415.42
1604285100000,1.16431,1.16471,1.16429,1.16439,5326.28
1604286000000,1.16438,1.16442,1.16408,1.16419,5495.56
1604286900000,1.16419,1.16431,1.16409,1.16417,2105.12
1604287800000,1.16418,1.16419,1.16395,1.16406,2035
1604288700000,1.16405,1.16409,1.16392,1.16405,4695.19
1604289600000,1.16404,1.16404,1.16361,1.16362,4577.98
1604290500000,1.16363,1.16368,1.16345,1.16352,5438.23
1604291400000,1.1635,1.16362,1.1631,1.16318,5612.67
1604292300000,1.16318,1.16342,1.163,1.1631,7199.12
1604293200000,1.16309,1.16346,1.16307,1.16337,6910.24
1604294100000,1.16339,1.16352,1.16332,1.16342,5474.35
1604295000000,1.16342,1.16363,1.1633,1.1633,4512.92
1604295900000,1.16329,1.16393,1.16325,1.16371,8118.2
1604296800000,1.16372,1.16392,1.16354,1.1636,9080.98
1604297700000,1.16359,1.16379,1.16347,1.16352,7011.79
