control,tf,tipo,direccion,confirmation_time_utc,bar_index_local,nivel,zone_high,source_close,detector_object_id,occurrence_id
B,M1,FVG,-1,2026-08-24T06:13:00+00:00,10657,1.16804,1.16808,,FVG_M1_10657_BEAR,M1|FVG|2026-08-24T06:13:00+00:00|-1
B,M1,FVG,1,2026-08-24T06:15:00+00:00,10659,1.16804,1.16808,,FVG_M1_10659_BULL,M1|FVG|2026-08-24T06:15:00+00:00|1
B,M1,FVG,-1,2026-08-24T06:18:00+00:00,10662,1.16808,1.1681,,FVG_M1_10662_BEAR,M1|FVG|2026-08-24T06:18:00+00:00|-1
B,M1,FVG,-1,2026-08-24T06:22:00+00:00,10666,1.16807,1.16808,,FVG_M1_10666_BEAR,M1|FVG|2026-08-24T06:22:00+00:00|-1
B,M1,FVG,1,2026-08-24T06:24:00+00:00,10668,1.16807,1.16813,,FVG_M1_10668_BULL,M1|FVG|2026-08-24T06:24:00+00:00|1
B,M1,FVG,-1,2026-08-24T06:29:00+00:00,10673,1.16814,1.16815,,FVG_M1_10673_BEAR,M1|FVG|2026-08-24T06:29:00+00:00|-1
B,M1,FVG,-1,2026-08-24T06:34:00+00:00,10678,1.16809,1.1681,,FVG_M1_10678_BEAR,M1|FVG|2026-08-24T06:34:00+00:00|-1
B,M1,FVG,-1,2026-08-24T06:44:00+00:00,10688,1.168,1.16806,,FVG_M1_10688_BEAR,M1|FVG|2026-08-24T06:44:00+00:00|-1
B,M1,FVG,-1,2026-08-24T06:45:00+00:00,10689,1.16798,1.16799,,FVG_M1_10689_BEAR,M1|FVG|2026-08-24T06:45:00+00:00|-1
B,M1,FVG,-1,2026-08-24T06:50:00+00:00,10694,1.16793,1.16796,,FVG_M1_10694_BEAR,M1|FVG|2026-08-24T06:50:00+00:00|-1
B,M1,FVG,-1,2026-08-24T06:51:00+00:00,10695,1.16785,1.16789,,FVG_M1_10695_BEAR,M1|FVG|2026-08-24T06:51:00+00:00|-1
B,M1,FVG,1,2026-08-24T06:53:00+00:00,10697,1.16785,1.16787,,FVG_M1_10697_BULL,M1|FVG|2026-08-24T06:53:00+00:00|1
B,M1,FVG,1,2026-08-24T06:54:00+00:00,10698,1.16788,1.16791,,FVG_M1_10698_BULL,M1|FVG|2026-08-24T06:54:00+00:00|1
B,M1,FVG,1,2026-08-24T06:55:00+00:00,10699,1.16793,1.16794,,FVG_M1_10699_BULL,M1|FVG|2026-08-24T06:55:00+00:00|1
B,M1,FVG,-1,2026-08-24T07:06:00+00:00,10710,1.1678,1.16791,,FVG_M1_10710_BEAR,M1|FVG|2026-08-24T07:06:00+00:00|-1
B,M1,FVG,-1,2026-08-24T07:07:00+00:00,10711,1.16775,1.16779,,FVG_M1_10711_BEAR,M1|FVG|2026-08-24T07:07:00+00:00|-1
B,M1,FVG,-1,2026-08-24T07:15:00+00:00,10719,1.16777,1.16778,,FVG_M1_10719_BEAR,M1|FVG|2026-08-24T07:15:00+00:00|-1
B,M1,FVG,1,2026-08-24T07:19:00+00:00,10723,1.16774,1.16777,,FVG_M1_10723_BULL,M1|FVG|2026-08-24T07:19:00+00:00|1
B,M1,FVG,1,2026-08-24T07:25:00+00:00,10729,1.16784,1.16785,,FVG_M1_10729_BULL,M1|FVG|2026-08-24T07:25:00+00:00|1
B,M1,FVG,1,2026-08-24T07:29:00+00:00,10733,1.16794,1.16796,,FVG_M1_10733_BULL,M1|FVG|2026-08-24T07:29:00+00:00|1
B,M1,FVG,1,2026-08-24T07:30:00+00:00,10734,1.168,1.16804,,FVG_M1_10734_BULL,M1|FVG|2026-08-24T07:30:00+00:00|1
B,M1,FVG,1,2026-08-24T07:42:00+00:00,10746,1.16805,1.16806,,FVG_M1_10746_BULL,M1|FVG|2026-08-24T07:42:00+00:00|1
B,M1,FVG,-1,2026-08-24T07:50:00+00:00,10754,1.16804,1.16806,,FVG_M1_10754_BEAR,M1|FVG|2026-08-24T07:50:00+00:00|-1
B,M1,FVG,1,2026-08-24T07:54:00+00:00,10758,1.16807,1.16808,,FVG_M1_10758_BULL,M1|FVG|2026-08-24T07:54:00+00:00|1
B,M1,FVG,1,2026-08-24T07:55:00+00:00,10759,1.16808,1.16814,,FVG_M1_10759_BULL,M1|FVG|2026-08-24T07:55:00+00:00|1
B,M1,FVG,-1,2026-08-24T08:04:00+00:00,10768,1.16814,1.16815,,FVG_M1_10768_BEAR,M1|FVG|2026-08-24T08:04:00+00:00|-1
B,M1,FVG,1,2026-08-24T08:17:00+00:00,10781,1.16805,1.1681,,FVG_M1_10781_BULL,M1|FVG|2026-08-24T08:17:00+00:00|1
B,M1,FVG,-1,2026-08-24T08:21:00+00:00,10785,1.16808,1.1681,,FVG_M1_10785_BEAR,M1|FVG|2026-08-24T08:21:00+00:00|-1
B,M1,FVG,-1,2026-08-24T08:23:00+00:00,10787,1.16795,1.16802,,FVG_M1_10787_BEAR,M1|FVG|2026-08-24T08:23:00+00:00|-1
B,M1,FVG,1,2026-08-24T08:29:00+00:00,10793,1.16794,1.16797,,FVG_M1_10793_BULL,M1|FVG|2026-08-24T08:29:00+00:00|1
B,M1,FVG,-1,2026-08-24T08:31:00+00:00,10795,1.16791,1.16797,,FVG_M1_10795_BEAR,M1|FVG|2026-08-24T08:31:00+00:00|-1
B,M1,FVG,1,2026-08-24T08:37:00+00:00,10801,1.16788,1.16789,,FVG_M1_10801_BULL,M1|FVG|2026-08-24T08:37:00+00:00|1
B,M1,FVG,-1,2026-08-24T08:39:00+00:00,10803,1.16783,1.16789,,FVG_M1_10803_BEAR,M1|FVG|2026-08-24T08:39:00+00:00|-1
B,M1,FVG,-1,2026-08-24T08:40:00+00:00,10804,1.16781,1.16782,,FVG_M1_10804_BEAR,M1|FVG|2026-08-24T08:40:00+00:00|-1
B,M1,FVG,-1,2026-08-24T08:43:00+00:00,10807,1.16774,1.16775,,FVG_M1_10807_BEAR,M1|FVG|2026-08-24T08:43:00+00:00|-1
B,M1,FVG,-1,2026-08-24T08:44:00+00:00,10808,1.16768,1.16772,,FVG_M1_10808_BEAR,M1|FVG|2026-08-24T08:44:00+00:00|-1
B,M1,FVG,1,2026-08-24T08:53:00+00:00,10817,1.16775,1.16778,,FVG_M1_10817_BULL,M1|FVG|2026-08-24T08:53:00+00:00|1
B,M1,FVG,1,2026-08-24T08:57:00+00:00,10821,1.16787,1.16792,,FVG_M1_10821_BULL,M1|FVG|2026-08-24T08:57:00+00:00|1
B,M1,FVG,1,2026-08-24T08:59:00+00:00,10823,1.16795,1.16804,,FVG_M1_10823_BULL,M1|FVG|2026-08-24T08:59:00+00:00|1
B,M1,FVG,-1,2026-08-24T09:02:00+00:00,10826,1.16804,1.16805,,FVG_M1_10826_BEAR,M1|FVG|2026-08-24T09:02:00+00:00|-1
B,M1,FVG,-1,2026-08-24T09:13:00+00:00,10837,1.16779,1.16787,,FVG_M1_10837_BEAR,M1|FVG|2026-08-24T09:13:00+00:00|-1
B,M1,FVG,-1,2026-08-24T09:22:00+00:00,10846,1.1677,1.16776,,FVG_M1_10846_BEAR,M1|FVG|2026-08-24T09:22:00+00:00|-1
B,M1,FVG,-1,2026-08-24T09:23:00+00:00,10847,1.16758,1.16763,,FVG_M1_10847_BEAR,M1|FVG|2026-08-24T09:23:00+00:00|-1
B,M1,FVG,1,2026-08-24T09:34:00+00:00,10858,1.16759,1.16767,,FVG_M1_10858_BULL,M1|FVG|2026-08-24T09:34:00+00:00|1
B,M1,FVG,1,2026-08-24T09:35:00+00:00,10859,1.16769,1.1677,,FVG_M1_10859_BULL,M1|FVG|2026-08-24T09:35:00+00:00|1
B,M1,FVG,1,2026-08-24T09:37:00+00:00,10861,1.16776,1.16778,,FVG_M1_10861_BULL,M1|FVG|2026-08-24T09:37:00+00:00|1
B,M1,FVG,-1,2026-08-24T09:47:00+00:00,10871,1.1677,1.16771,,FVG_M1_10871_BEAR,M1|FVG|2026-08-24T09:47:00+00:00|-1
B,M1,FVG,1,2026-08-24T09:50:00+00:00,10874,1.16767,1.16773,,FVG_M1_10874_BULL,M1|FVG|2026-08-24T09:50:00+00:00|1
B,M1,FVG,1,2026-08-24T09:51:00+00:00,10875,1.16775,1.16778,,FVG_M1_10875_BULL,M1|FVG|2026-08-24T09:51:00+00:00|1
B,M1,FVG,1,2026-08-24T09:52:00+00:00,10876,1.16783,1.16788,,FVG_M1_10876_BULL,M1|FVG|2026-08-24T09:52:00+00:00|1
B,M1,FVG,-1,2026-08-24T09:56:00+00:00,10880,1.16787,1.16792,,FVG_M1_10880_BEAR,M1|FVG|2026-08-24T09:56:00+00:00|-1
B,M1,FVG,1,2026-08-24T10:02:00+00:00,10886,1.1678,1.16787,,FVG_M1_10886_BULL,M1|FVG|2026-08-24T10:02:00+00:00|1
B,M1,FVG,-1,2026-08-24T10:05:00+00:00,10889,1.16784,1.16787,,FVG_M1_10889_BEAR,M1|FVG|2026-08-24T10:05:00+00:00|-1
B,M1,FVG,-1,2026-08-24T10:06:00+00:00,10890,1.16777,1.16781,,FVG_M1_10890_BEAR,M1|FVG|2026-08-24T10:06:00+00:00|-1
B,M1,FVG,-1,2026-08-24T10:07:00+00:00,10891,1.16768,1.16776,,FVG_M1_10891_BEAR,M1|FVG|2026-08-24T10:07:00+00:00|-1
B,M1,FVG,-1,2026-08-24T10:08:00+00:00,10892,1.16761,1.16762,,FVG_M1_10892_BEAR,M1|FVG|2026-08-24T10:08:00+00:00|-1
B,M1,FVG,-1,2026-08-24T10:13:00+00:00,10897,1.16751,1.16755,,FVG_M1_10897_BEAR,M1|FVG|2026-08-24T10:13:00+00:00|-1
B,M1,FVG,-1,2026-08-24T10:15:00+00:00,10899,1.1674,1.16742,,FVG_M1_10899_BEAR,M1|FVG|2026-08-24T10:15:00+00:00|-1
B,M1,FVG,-1,2026-08-24T10:17:00+00:00,10901,1.1672,1.16728,,FVG_M1_10901_BEAR,M1|FVG|2026-08-24T10:17:00+00:00|-1
B,M1,FVG,1,2026-08-24T10:21:00+00:00,10905,1.1672,1.16723,,FVG_M1_10905_BULL,M1|FVG|2026-08-24T10:21:00+00:00|1
B,M1,FVG,1,2026-08-24T10:22:00+00:00,10906,1.16724,1.16731,,FVG_M1_10906_BULL,M1|FVG|2026-08-24T10:22:00+00:00|1
B,M1,FVG,1,2026-08-24T10:24:00+00:00,10908,1.16741,1.16742,,FVG_M1_10908_BULL,M1|FVG|2026-08-24T10:24:00+00:00|1
B,M1,FVG,-1,2026-08-24T10:28:00+00:00,10912,1.16732,1.1674,,FVG_M1_10912_BEAR,M1|FVG|2026-08-24T10:28:00+00:00|-1
B,M1,FVG,1,2026-08-24T10:30:00+00:00,10914,1.16732,1.16735,,FVG_M1_10914_BULL,M1|FVG|2026-08-24T10:30:00+00:00|1
B,M1,FVG,1,2026-08-24T10:31:00+00:00,10915,1.1674,1.16743,,FVG_M1_10915_BULL,M1|FVG|2026-08-24T10:31:00+00:00|1
B,M1,FVG,-1,2026-08-24T10:41:00+00:00,10925,1.16734,1.16744,,FVG_M1_10925_BEAR,M1|FVG|2026-08-24T10:41:00+00:00|-1
B,M1,FVG,-1,2026-08-24T10:42:00+00:00,10926,1.16728,1.16732,,FVG_M1_10926_BEAR,M1|FVG|2026-08-24T10:42:00+00:00|-1
B,M1,FVG,-1,2026-08-24T10:43:00+00:00,10927,1.16713,1.16722,,FVG_M1_10927_BEAR,M1|FVG|2026-08-24T10:43:00+00:00|-1
B,M1,FVG,-1,2026-08-24T10:44:00+00:00,10928,1.167,1.16707,,FVG_M1_10928_BEAR,M1|FVG|2026-08-24T10:44:00+00:00|-1
B,M1,FVG,-1,2026-08-24T10:45:00+00:00,10929,1.16673,1.16694,,FVG_M1_10929_BEAR,M1|FVG|2026-08-24T10:45:00+00:00|-1
B,M1,FVG,-1,2026-08-24T10:50:00+00:00,10934,1.16665,1.16666,,FVG_M1_10934_BEAR,M1|FVG|2026-08-24T10:50:00+00:00|-1
B,M1,FVG,1,2026-08-24T10:56:00+00:00,10940,1.16673,1.16676,,FVG_M1_10940_BULL,M1|FVG|2026-08-24T10:56:00+00:00|1
B,M1,FVG,-1,2026-08-24T11:13:00+00:00,10957,1.16643,1.16645,,FVG_M1_10957_BEAR,M1|FVG|2026-08-24T11:13:00+00:00|-1
B,M1,FVG,-1,2026-08-24T11:18:00+00:00,10962,1.16629,1.16632,,FVG_M1_10962_BEAR,M1|FVG|2026-08-24T11:18:00+00:00|-1
B,M1,FVG,1,2026-08-24T11:21:00+00:00,10965,1.16629,1.1664,,FVG_M1_10965_BULL,M1|FVG|2026-08-24T11:21:00+00:00|1
B,M1,FVG,-1,2026-08-24T11:26:00+00:00,10970,1.16634,1.16636,,FVG_M1_10970_BEAR,M1|FVG|2026-08-24T11:26:00+00:00|-1
B,M1,FVG,-1,2026-08-24T11:27:00+00:00,10971,1.16615,1.1663,,FVG_M1_10971_BEAR,M1|FVG|2026-08-24T11:27:00+00:00|-1
B,M1,FVG,1,2026-08-24T11:29:00+00:00,10973,1.16615,1.1662,,FVG_M1_10973_BULL,M1|FVG|2026-08-24T11:29:00+00:00|1
B,M1,FVG,1,2026-08-24T11:36:00+00:00,10980,1.16621,1.16622,,FVG_M1_10980_BULL,M1|FVG|2026-08-24T11:36:00+00:00|1
B,M1,FVG,1,2026-08-24T11:41:00+00:00,10985,1.16635,1.16642,,FVG_M1_10985_BULL,M1|FVG|2026-08-24T11:41:00+00:00|1
B,M1,FVG,1,2026-08-24T11:44:00+00:00,10988,1.16648,1.16657,,FVG_M1_10988_BULL,M1|FVG|2026-08-24T11:44:00+00:00|1
B,M1,FVG,-1,2026-08-24T11:47:00+00:00,10991,1.16652,1.16655,,FVG_M1_10991_BEAR,M1|FVG|2026-08-24T11:47:00+00:00|-1
B,M1,FVG,1,2026-08-24T11:49:00+00:00,10993,1.16652,1.16657,,FVG_M1_10993_BULL,M1|FVG|2026-08-24T11:49:00+00:00|1
B,M1,FVG,1,2026-08-24T11:50:00+00:00,10994,1.16659,1.16661,,FVG_M1_10994_BULL,M1|FVG|2026-08-24T11:50:00+00:00|1
B,M1,FVG,-1,2026-08-24T11:58:00+00:00,11002,1.1665,1.16658,,FVG_M1_11002_BEAR,M1|FVG|2026-08-24T11:58:00+00:00|-1
B,M1,FVG,1,2026-08-24T12:03:00+00:00,11007,1.16642,1.16649,,FVG_M1_11007_BULL,M1|FVG|2026-08-24T12:03:00+00:00|1
B,M1,FVG,-1,2026-08-24T12:12:00+00:00,11016,1.16628,1.16634,,FVG_M1_11016_BEAR,M1|FVG|2026-08-24T12:12:00+00:00|-1
B,M1,FVG,-1,2026-08-24T12:19:00+00:00,11023,1.16621,1.16626,,FVG_M1_11023_BEAR,M1|FVG|2026-08-24T12:19:00+00:00|-1
B,M1,FVG,1,2026-08-24T12:23:00+00:00,11027,1.16623,1.16629,,FVG_M1_11027_BULL,M1|FVG|2026-08-24T12:23:00+00:00|1
B,M1,FVG,-1,2026-08-24T12:25:00+00:00,11029,1.16628,1.16629,,FVG_M1_11029_BEAR,M1|FVG|2026-08-24T12:25:00+00:00|-1
B,M1,FVG,1,2026-08-24T12:31:00+00:00,11035,1.16629,1.1663,,FVG_M1_11035_BULL,M1|FVG|2026-08-24T12:31:00+00:00|1
B,M1,FVG,1,2026-08-24T12:32:00+00:00,11036,1.16632,1.16638,,FVG_M1_11036_BULL,M1|FVG|2026-08-24T12:32:00+00:00|1
B,M1,FVG,-1,2026-08-24T12:34:00+00:00,11038,1.16634,1.16638,,FVG_M1_11038_BEAR,M1|FVG|2026-08-24T12:34:00+00:00|-1
B,M1,FVG,-1,2026-08-24T12:35:00+00:00,11039,1.16624,1.16633,,FVG_M1_11039_BEAR,M1|FVG|2026-08-24T12:35:00+00:00|-1
