timestamp,open,high,low,close,volume
1530478800000,1.16747,1.169,1.16699,1.16788,570.78
1530479700000,1.16788,1.16788,1.16619,1.16655,1159.46
1530480600000,1.16655,1.16772,1.16616,1.16729,890.69
1530481500000,1.16733,1.16763,1.16636,1.16665,1334.71
1530482400000,1.16665,1.16734,1.16637,1.16661,1836.28
1530483300000,1.16661,1.16729,1.1666,1.16717,2126.99
1530484200000,1.16717,1.16737,1.16696,1.16729,2350.54
1530485100000,1.16728,1.16747,1.16716,1.16739,1668.75
1530486000000,1.1674,1.16823,1.1674,1.16814,957.33
1530486900000,1.16812,1.16823,1.16705,1.16711,1454.26
1530487800000,1.16712,1.16765,1.16708,1.16756,1119.37
1530488700000,1.16755,1.16794,1.16735,1.16786,1074.54
1530489600000,1.16778,1.16789,1.16697,1.16703,2243.34
1530490500000,1.16703,1.16705,1.16661,1.16669,1657.6
1530491400000,1.16672,1.16677,1.16645,1.16657,1727.89
1530492300000,1.16657,1.16673,1.16641,1.16646,1612.3
1530493200000,1.16646,1.1669,1.16609,1.16625,3260.56
1530494100000,1.16628,1.16631,1.16596,1.16601,2235.72
1530495000000,1.16601,1.16603,1.16551,1.16573,2143.33
1530495900000,1.16575,1.16598,1.1654,1.16592,2025.15
1530496800000,1.16591,1.16618,1.16568,1.16608,1396.28
1530497700000,1.1661,1.16643,1.16596,1.16608,1935.62
1530498600000,1.16608,1.16624,1.16598,1.16618,937.31
1530499500000,1.16618,1.1662,1.16556,1.16567,1544.65
1530500400000,1.16567,1.16578,1.16547,1.16574,1634.33
1530501300000,1.16576,1.16599,1.16573,1.16589,1049.55
1530502200000,1.16589,1.16611,1.16576,1.16579,1595.76
1530503100000,1.16578,1.1658,1.16517,1.16527,2013.99
1530504000000,1.16527,1.16543,1.16507,1.16543,1552.23
1530504900000,1.16545,1.16573,1.16537,1.16538,1042.06
1530505800000,1.16538,1.1654,1.1649,1.16517,1733.55
1530506700000,1.16517,1.16534,1.16481,1.16498,1298.89
1530507600000,1.16499,1.16503,1.16431,1.16448,2555.83
1530508500000,1.16447,1.16485,1.16447,1.16463,2176.8
1530509400000,1.16462,1.16479,1.16421,1.16432,1755.63
1530510300000,1.16432,1.16439,1.1637,1.16423,2966.98
1530511200000,1.16423,1.16502,1.16405,1.16437,2425.16
1530512100000,1.16437,1.16473,1.16383,1.1643,3419.56
1530513000000,1.16431,1.16502,1.16424,1.16502,2682.41
1530513900000,1.165,1.16553,1.16495,1.16525,2688.57
1530514800000,1.16523,1.16527,1.16327,1.16397,3887.99
1530515700000,1.16397,1.16397,1.1627,1.16335,3819.64
1530516600000,1.16336,1.16382,1.16276,1.16301,3518.22
1530517500000,1.163,1.1636,1.16259,1.16305,4041.99
1530518400000,1.16306,1.16415,1.16265,1.1637,4662.92
1530519300000,1.1637,1.16428,1.16356,1.16376,3542.54
1530520200000,1.16374,1.16467,1.16348,1.1645,4580.9
1530521100000,1.16451,1.16479,1.16425,1.16435,3848.77
1530522000000,1.16433,1.16472,1.16379,1.16392,3054.04
1530522900000,1.16394,1.16463,1.16384,1.16452,3320.14
1530523800000,1.16452,1.16477,1.16402,1.16405,3736.33
1530524700000,1.16406,1.16421,1.16361,1.164,3154.87
1530525600000,1.16399,1.16411,1.16345,1.16375,3166.59
1530526500000,1.16376,1.16438,1.1637,1.16387,2959.74
1530527400000,1.16386,1.16462,1.16386,1.16426,3368.29
1530528300000,1.16427,1.16465,1.16405,1.16421,2751.59
1530529200000,1.16421,1.16446,1.16366,1.16376,2803.31
1530530100000,1.16374,1.16381,1.1632,1.16323,2583.62
1530531000000,1.16323,1.16368,1.16321,1.16356,2423.13
1530531900000,1.16357,1.16424,1.16277,1.16299,3415.9
1530532800000,1.16297,1.16422,1.16235,1.1639,4693.27
1530533700000,1.16389,1.16391,1.16345,1.16372,3270.55
1530534600000,1.16373,1.16378,1.16271,1.16331,4243.67
1530535500000,1.16331,1.16346,1.16161,1.16177,4107.26
1530536400000,1.16177,1.16178,1.15996,1.16016,5440.07
1530537300000,1.16015,1.16088,1.15998,1.16038,4723.9
1530538200000,1.16038,1.16059,1.15969,1.16021,3870.82
1530539100000,1.16021,1.16101,1.15977,1.16081,3652.5
1530540000000,1.1608,1.16097,1.15995,1.16046,4197.42
1530540900000,1.16044,1.1608,1.16016,1.16016,3808.83
1530541800000,1.16016,1.16126,1.16015,1.16106,3576.93
1530542700000,1.16107,1.16235,1.16048,1.16052,3958.97
1530543600000,1.16054,1.16092,1.15927,1.15932,4150.43
1530544500000,1.15934,1.15993,1.15911,1.1599,2918.62
1530545400000,1.15992,1.16093,1.1599,1.16058,3448.83
1530546300000,1.16057,1.16081,1.16037,1.16042,2740.65
1530547200000,1.16042,1.16109,1.16028,1.16061,2839.5
1530548100000,1.16061,1.16101,1.16032,1.16075,2502.09
1530549000000,1.16075,1.16108,1.16049,1.16082,2515.02
1530549900000,1.16081,1.16089,1.15997,1.15998,2251.73
1530550800000,1.16001,1.16063,1.16001,1.16031,2374.67
1530551700000,1.16031,1.16064,1.16007,1.16022,2284.45
1530552600000,1.1602,1.16074,1.16017,1.16042,2187.85
1530553500000,1.16041,1.16088,1.1603,1.16078,2073.44
1530554400000,1.16079,1.16088,1.16052,1.16069,2586.46
1530555300000,1.16069,1.16093,1.16036,1.16049,2389.78
1530556200000,1.16048,1.1607,1.16046,1.16064,1386.48
1530557100000,1.16062,1.16105,1.1605,1.16102,2085.29
1530558000000,1.16102,1.16189,1.16093,1.16142,2365.48
1530558900000,1.16142,1.16222,1.16142,1.1622,2956.87
1530559800000,1.16219,1.16232,1.16187,1.16213,2002.02
1530560700000,1.16216,1.16216,1.1616,1.16172,2713.21
1530561600000,1.1617,1.1648,1.16162,1.16421,2879.25
1530562500000,1.16419,1.16429,1.16365,1.16402,1784.47
1530563400000,1.16402,1.1645,1.16393,1.16394,1170.97
1530564300000,1.16398,1.16398,1.16357,1.16391,1417.3
1530565200000,1.1639,1.16425,1.16374,1.16395,989.72
1530566100000,1.16395,1.16404,1.16359,1.16375,1403.26
1530567000000,1.16375,1.16384,1.16355,1.16362,939.35
